outer_test_subject,top_k,transition_weight,n1_emission_boost,mean_macro_f1,mean_n1_f1,mean_min_class_f1,mean_balanced_accuracy,std_macro_f1,selected
SC400,20,0.25,1.2,0.6693110372279302,0.32265264033433044,0.32265264033433044,0.6916182818302433,0.08943303869880036,False
SC400,20,0.25,1.0,0.6692218595721321,0.3041218935771658,0.3041218935771658,0.6911819090702473,0.0895164515970922,False
SC400,5,0.25,1.1,0.6690963660957548,0.31166037424442466,0.31166037424442466,0.68894732247956,0.08002147736783258,False
SC400,20,0.5,1.2,0.6690608650096997,0.29048964039767255,0.29048964039767255,0.6925095229329447,0.09173705672017374,False
SC400,15,0.25,1.1,0.6689874429853736,0.3106408862729458,0.3082319417572221,0.6890587437575839,0.08348169988159933,False
SC400,10,0.5,1.0,0.6689301769906398,0.29334267432636335,0.29334267432636335,0.6870248797012575,0.08920165853204075,False
SC400,15,0.25,1.35,0.6686079490527822,0.33598576134399566,0.33328184285060347,0.6934495334682923,0.0881913084101361,False
SC400,5,0.25,1.2,0.6686020912287406,0.3254519211070821,0.3254519211070821,0.6905068124985386,0.08551745342413085,False
SC400,10,1.0,1.1,0.6683984747645113,0.2811652185518238,0.2811652185518238,0.6824542948483192,0.08776855123687238,False
SC400,5,0.5,1.0,0.6683967948154435,0.29924829679833387,0.29924829679833387,0.6884349169371724,0.08603931902789508,False
SC400,20,0.5,1.0,0.6683062254765672,0.2963994339426672,0.2963994339426672,0.6893566657131502,0.09362782906458145,False
SC400,15,0.25,1.0,0.668296732730689,0.29959892531027205,0.29959892531027205,0.6875959805532028,0.08220806384868357,False
SC400,20,0.5,1.1,0.6680735529338223,0.2982284853479517,0.2982284853479517,0.6892754623031943,0.09480185680629732,False
SC400,10,0.75,1.1,0.6678644624009155,0.3021499882072066,0.3021499882072066,0.6849475516991901,0.09190152921964075,False
SC400,5,0.25,1.0,0.6674438597196931,0.30015397881251543,0.30015397881251543,0.6874984244172928,0.08145603796621168,False
SC400,10,0.75,1.5,0.6674063537374041,0.3302115262090374,0.32342823261458836,0.6856143514204627,0.09298046743138867,False
SC400,20,0.75,1.2,0.6673698693914387,0.31069701534001465,0.31069701534001465,0.6841852091320637,0.09503383116765468,False
SC400,10,0.5,1.1,0.6672194966037125,0.2897505677423924,0.2897505677423924,0.6869210851680668,0.09106409485494721,False
SC400,15,0.5,1.35,0.6670734633001059,0.3205525882195853,0.3205525882195853,0.6870442751828851,0.09789830372805418,False
SC400,0,1.0,1.2,0.6667870029043328,0.28260694844730905,0.28260694844730905,0.6824752738348017,0.08486298695913067,False
SC400,10,0.25,1.5,0.6667627068606856,0.35910048809447986,0.34601155074550843,0.6913960580221442,0.09152696379376077,False
SC400,10,0.75,1.2,0.66633168016859,0.29002582010850275,0.29002582010850275,0.6848738945720882,0.09081056657532496,False
SC400,5,0.25,1.5,0.665998145534246,0.3657377730378797,0.3556567479766398,0.692832476156714,0.09059743161490216,False
SC400,5,1.0,1.2,0.6659819059608569,0.2989921644699697,0.2989921644699697,0.6808648903030934,0.08586907997521794,False
SC400,10,1.0,1.5,0.6659105541842555,0.30152555380171353,0.29474226020726446,0.6857620573625116,0.09623087571967792,False
SC400,0,0.25,1.0,0.6658946092504988,0.28581848299733587,0.28581848299733587,0.686682948539844,0.08203857855956062,False
SC400,0,0.75,1.1,0.665363003183942,0.28792088494033197,0.28792088494033197,0.6810270410717211,0.09022692355155283,False
SC400,20,0.5,1.5,0.6653528040508736,0.3439973490735891,0.3281601125396313,0.6874277849969884,0.10330334075929944,False
SC400,5,0.75,1.2,0.6652030436947134,0.3097797052918431,0.3097797052918431,0.6824453136787965,0.09451101573287139,False
